customer_id,customer_name,customer_segment,region_id,contract_type,start_date,status,annual_contract_value
1,Orion Commercial South 0001,Commercial,4,On-Demand Support,2022-09-08,Active,166568.51
2,Helios Industrial South 0002,Industrial,4,Performance Contract,2025-10-30,Suspended,335754.98
3,Helios Industrial NorthEast 0003,Industrial,2,Performance Contract,2020-12-08,Active,265803.73
4,Green Residential NorthEast 0004,Residential,2,On-Demand Support,2023-06-04,Active,34927.64
5,Atlas Industrial NorthWest 0005,Industrial,1,Performance Contract,2025-05-04,Suspended,448204.26
6,Atlas Industrial NorthWest 0006,Industrial,1,Performance Contract,2021-08-05,Active,361991.98
7,Easy Residential South 0007,Residential,4,Preventive Care,2025-04-15,Lost,27394.38
8,Helios Industrial NorthWest 0008,Industrial,1,Managed Services,2021-01-07,Active,531352.78
9,Urban Commercial South 0009,Commercial,4,Preventive Care,2022-01-29,Active,110117.45
10,Family Residential Central 0010,Residential,3,On-Demand Support,2023-09-06,Active,29916.8
11,Prime Commercial NorthWest 0011,Commercial,1,Managed Services,2024-10-02,Lost,118063.55
12,Public Public NorthEast 0012,Public Sector,2,Performance Contract,2019-05-30,Active,256037.61
13,Forge Industrial South 0013,Industrial,4,Managed Services,2023-11-17,Active,267979.96
14,Vector Industrial Central 0014,Industrial,3,Performance Contract,2022-03-27,Active,413242.02
15,Prime Commercial Central 0015,Commercial,3,Managed Services,2022-06-19,Suspended,109408.92
16,Home Residential Islands 0016,Residential,5,On-Demand Support,2023-11-25,Active,24695.54
17,Central Public Islands 0017,Public Sector,5,Performance Contract,2022-10-30,Active,181573.99
18,Bright Residential South 0018,Residential,4,Preventive Care,2020-03-28,Active,29442.11
19,Vista Commercial NorthWest 0019,Commercial,1,Managed Services,2023-08-17,Active,165301.81
20,Titan Industrial Central 0020,Industrial,3,On-Demand Support,2020-01-05,Active,447068.15
21,Green Residential NorthWest 0021,Residential,1,On-Demand Support,2020-12-06,Active,37253.37
22,Community Public Islands 0022,Public Sector,5,Performance Contract,2022-05-29,Active,176853.93
23,Forge Industrial NorthEast 0023,Industrial,2,Preventive Care,2021-02-11,Active,546706.73
24,Vista Commercial Central 0024,Commercial,3,Preventive Care,2022-11-17,Active,182152.7
25,Orion Commercial Islands 0025,Commercial,5,Managed Services,2021-03-03,Active,146374.85
26,Casa Residential NorthEast 0026,Residential,2,Preventive Care,2024-10-22,Active,28501.57
27,Mercury Industrial NorthWest 0027,Industrial,1,Performance Contract,2024-12-02,Suspended,619460.29
28,Vista Commercial Central 0028,Commercial,3,Preventive Care,2025-03-27,Active,174840.86
29,Vista Commercial South 0029,Commercial,4,On-Demand Support,2019-06-22,Active,123590.32
30,Orion Commercial NorthWest 0030,Commercial,1,On-Demand Support,2024-10-26,Active,131906.81
31,Regional Public Islands 0031,Public Sector,5,Managed Services,2020-12-15,Active,125212.69
32,Orion Commercial NorthWest 0032,Commercial,1,Preventive Care,2019-12-04,Active,173553.83
33,Green Residential South 0033,Residential,4,Performance Contract,2025-10-24,Suspended,15126.35
34,Bright Residential Central 0034,Residential,3,Preventive Care,2021-02-08,Active,41370.98
35,Helios Industrial Central 0035,Industrial,3,Managed Services,2020-04-09,Suspended,369417.38
36,Family Residential NorthEast 0036,Residential,2,Managed Services,2025-07-13,Lost,15287.7
37,Public Public Central 0037,Public Sector,3,Preventive Care,2019-11-01,Active,237370.7
38,Easy Residential Central 0038,Residential,3,Preventive Care,2021-08-14,Active,22699.16
39,Vector Industrial South 0039,Industrial,4,Managed Services,2020-05-06,Active,419941.38
40,Home Residential NorthWest 0040,Residential,1,Preventive Care,2024-10-09,Active,24708.71
41,Atlas Industrial NorthWest 0041,Industrial,1,Managed Services,2022-08-12,Active,274760.63
42,Prime Commercial NorthEast 0042,Commercial,2,On-Demand Support,2023-10-07,Active,194974.87
43,Titan Industrial NorthWest 0043,Industrial,1,Performance Contract,2019-01-19,Active,422030.02
44,Casa Residential NorthWest 0044,Residential,1,Managed Services,2021-08-13,Active,43063.08
45,Home Residential Islands 0045,Residential,5,On-Demand Support,2023-04-25,Active,31801.47
46,Harbor Commercial Central 0046,Commercial,3,On-Demand Support,2024-06-14,Active,156026.59
47,Atlas Industrial NorthWest 0047,Industrial,1,Performance Contract,2021-05-14,Active,422202.73
48,Urban Commercial NorthEast 0048,Commercial,2,Preventive Care,2021-07-28,Suspended,130640.08
49,Harbor Commercial NorthEast 0049,Commercial,2,On-Demand Support,2022-11-15,Active,170331.28
50,Civic Public NorthEast 0050,Public Sector,2,Performance Contract,2022-09-24,Active,243564.76
51,Helios Industrial Central 0051,Industrial,3,Performance Contract,2025-09-20,Suspended,239026.62
52,Bright Residential Central 0052,Residential,3,On-Demand Support,2025-09-17,Active,42588.99
53,Harbor Commercial NorthWest 0053,Commercial,1,Managed Services,2022-05-01,Active,171962.67
54,Home Residential South 0054,Residential,4,On-Demand Support,2022-04-06,Suspended,24165.15
55,Summit Commercial NorthWest 0055,Commercial,1,Performance Contract,2024-02-11,Active,195696.95
56,Vista Commercial South 0056,Commercial,4,Performance Contract,2021-05-03,Active,131635.58
57,Orion Commercial Islands 0057,Commercial,5,Performance Contract,2025-08-23,Active,162591.53
58,Summit Commercial NorthEast 0058,Commercial,2,On-Demand Support,2025-07-21,Suspended,148596.33
59,Helios Industrial Central 0059,Industrial,3,Performance Contract,2019-09-02,Active,476785.8
60,Vista Commercial NorthEast 0060,Commercial,2,Performance Contract,2022-03-07,Lost,119451.9
61,Bright Residential Islands 0061,Residential,5,Preventive Care,2023-08-30,Active,33504.62
62,Forge Industrial Central 0062,Industrial,3,Preventive Care,2025-12-29,Active,243219.67
63,Vista Commercial South 0063,Commercial,4,On-Demand Support,2019-01-14,Active,162403.68
64,Easy Residential Central 0064,Residential,3,Preventive Care,2019-01-14,Active,38060.66
65,Home Residential Islands 0065,Residential,5,On-Demand Support,2022-03-12,Active,33539.44
66,Easy Residential Central 0066,Residential,3,On-Demand Support,2020-05-30,Active,38125.36
67,Titan Industrial NorthWest 0067,Industrial,1,Performance Contract,2022-07-26,Active,645468.13
68,Family Residential NorthWest 0068,Residential,1,On-Demand Support,2019-05-20,Active,21152.51
69,Central Public Islands 0069,Public Sector,5,Preventive Care,2022-02-15,Active,215008.06
70,Harbor Commercial NorthEast 0070,Commercial,2,Preventive Care,2020-01-07,Suspended,143174.82
71,Urban Commercial NorthEast 0071,Commercial,2,Managed Services,2019-08-27,Active,114817.07
72,Community Public Central 0072,Public Sector,3,Performance Contract,2021-02-18,Active,216311.11
73,Titan Industrial NorthEast 0073,Industrial,2,Performance Contract,2019-09-01,Active,411702.34
74,Community Public Central 0074,Public Sector,3,Performance Contract,2023-01-03,Active,205112.07
75,Central Public NorthEast 0075,Public Sector,2,Performance Contract,2022-11-28,Active,222831.12
76,Public Public Central 0076,Public Sector,3,Preventive Care,2025-03-16,Active,204883.8
77,Vector Industrial NorthWest 0077,Industrial,1,Preventive Care,2022-12-16,Active,276425.99
78,Public Public NorthEast 0078,Public Sector,2,Managed Services,2021-05-04,Active,263036.18
79,Prime Commercial NorthWest 0079,Commercial,1,Managed Services,2022-02-23,Suspended,147917.34
80,Metro Public Central 0080,Public Sector,3,Performance Contract,2024-05-28,Active,241839.03
81,Mercury Industrial Central 0081,Industrial,3,Managed Services,2020-05-27,Suspended,478774.68
82,Urban Commercial NorthWest 0082,Commercial,1,Performance Contract,2024-11-15,Active,111291.2
83,Vector Industrial NorthEast 0083,Industrial,2,Managed Services,2023-06-05,Active,552547.29
84,Summit Commercial NorthEast 0084,Commercial,2,Performance Contract,2020-08-18,Active,105597.59
85,Community Public Central 0085,Public Sector,3,Performance Contract,2024-01-28,Active,258170.13
86,Casa Residential NorthEast 0086,Residential,2,On-Demand Support,2021-07-26,Lost,28091.42
87,Green Residential Central 0087,Residential,3,Preventive Care,2022-08-14,Active,28759.66
88,Home Residential Islands 0088,Residential,5,Preventive Care,2019-09-26,Active,22409.61
89,Regional Public Islands 0089,Public Sector,5,Performance Contract,2021-11-28,Active,211034.66
90,Easy Residential Central 0090,Residential,3,On-Demand Support,2020-12-11,Lost,25448.68
91,Bright Residential Islands 0091,Residential,5,On-Demand Support,2023-07-20,Lost,12812.59
92,Home Residential Islands 0092,Residential,5,Preventive Care,2022-11-15,Lost,23752.21
93,Public Public NorthWest 0093,Public Sector,1,Performance Contract,2021-04-11,Active,324203.81
94,Forge Industrial South 0094,Industrial,4,Performance Contract,2025-11-05,Suspended,453816.91
95,Mercury Industrial NorthEast 0095,Industrial,2,Managed Services,2023-08-08,Active,463850.43
96,Casa Residential South 0096,Residential,4,Managed Services,2024-06-01,Active,20786.44
97,Orion Commercial NorthWest 0097,Commercial,1,Preventive Care,2023-11-25,Active,97031.81
98,Bright Residential NorthWest 0098,Residential,1,Preventive Care,2025-04-09,Active,39770.15
99,Helios Industrial NorthEast 0099,Industrial,2,Preventive Care,2023-09-23,Active,326211.07
100,Bright Residential South 0100,Residential,4,Preventive Care,2021-05-24,Active,24970.52
101,Green Residential Islands 0101,Residential,5,On-Demand Support,2021-05-29,Suspended,21072.49
102,Atlas Industrial NorthWest 0102,Industrial,1,Managed Services,2019-12-10,Active,432014.18
103,Family Residential NorthEast 0103,Residential,2,On-Demand Support,2021-06-05,Active,29036.39
104,Bright Residential NorthEast 0104,Residential,2,On-Demand Support,2025-04-12,Active,33877.72
105,Helios Industrial NorthEast 0105,Industrial,2,Managed Services,2019-06-05,Lost,238761.34
106,Orion Commercial South 0106,Commercial,4,Performance Contract,2022-12-06,Active,221537.65
107,Casa Residential Islands 0107,Residential,5,Preventive Care,2021-12-28,Active,26824.76
108,Vista Commercial Central 0108,Commercial,3,Managed Services,2023-07-28,Active,221935.64
109,Forge Industrial NorthWest 0109,Industrial,1,Performance Contract,2019-05-02,Active,448128.35
110,Atlas Industrial NorthEast 0110,Industrial,2,Performance Contract,2019-05-11,Active,333531.65
111,Atlas Industrial NorthEast 0111,Industrial,2,Managed Services,2019-10-12,Active,530571.76
112,Prime Commercial NorthEast 0112,Commercial,2,Preventive Care,2022-07-23,Active,193442.64
113,Vista Commercial NorthWest 0113,Commercial,1,Preventive Care,2020-09-23,Active,136350.56
114,Central Public NorthEast 0114,Public Sector,2,Managed Services,2025-07-06,Active,151836.64
115,Titan Industrial NorthWest 0115,Industrial,1,Managed Services,2022-04-30,Active,310877.48
116,Home Residential Central 0116,Residential,3,Managed Services,2020-09-09,Active,38210.02
117,Casa Residential South 0117,Residential,4,Preventive Care,2025-10-11,Active,38262.43
118,Family Residential NorthEast 0118,Residential,2,Preventive Care,2023-03-23,Active,35573.33
119,Vista Commercial NorthEast 0119,Commercial,2,Managed Services,2021-09-07,Active,91398.59
120,Home Residential South 0120,Residential,4,On-Demand Support,2019-02-18,Lost,19041.38
121,Central Public NorthWest 0121,Public Sector,1,Performance Contract,2025-06-21,Suspended,193812.2
122,Titan Industrial Central 0122,Industrial,3,Preventive Care,2019-02-12,Active,550038.14
123,Forge Industrial NorthWest 0123,Industrial,1,Performance Contract,2025-11-02,Active,385662.25
124,Harbor Commercial Central 0124,Commercial,3,On-Demand Support,2024-11-08,Active,134198.18
125,Public Public NorthEast 0125,Public Sector,2,Preventive Care,2024-01-09,Active,228522.73
126,Forge Industrial Central 0126,Industrial,3,Preventive Care,2025-11-19,Active,431557.64
127,Summit Commercial South 0127,Commercial,4,Preventive Care,2023-10-10,Suspended,94471.94
128,Harbor Commercial Islands 0128,Commercial,5,Performance Contract,2020-05-25,Lost,127689.95
129,Casa Residential South 0129,Residential,4,On-Demand Support,2024-06-14,Active,28214.38
130,Mercury Industrial South 0130,Industrial,4,Managed Services,2025-04-30,Active,461484.4
131,Community Public NorthEast 0131,Public Sector,2,On-Demand Support,2021-06-09,Active,210302.18
132,Urban Commercial NorthEast 0132,Commercial,2,On-Demand Support,2023-04-06,Active,153268.84
133,Vector Industrial NorthEast 0133,Industrial,2,Managed Services,2019-03-02,Active,466588.33
134,Metro Public NorthWest 0134,Public Sector,1,On-Demand Support,2025-09-07,Active,208201.25
135,Harbor Commercial Central 0135,Commercial,3,Managed Services,2019-08-18,Active,98224.37
136,Mercury Industrial NorthEast 0136,Industrial,2,Managed Services,2025-09-19,Active,362960.82
137,Family Residential Islands 0137,Residential,5,On-Demand Support,2021-11-14,Active,38351.14
138,Forge Industrial Central 0138,Industrial,3,Preventive Care,2019-12-19,Active,456698.45
139,Atlas Industrial NorthWest 0139,Industrial,1,Preventive Care,2024-03-06,Active,466205.13
140,Central Public NorthEast 0140,Public Sector,2,Preventive Care,2021-01-26,Suspended,155554.43
141,Vector Industrial NorthWest 0141,Industrial,1,Preventive Care,2019-06-07,Active,343256.99
142,Family Residential South 0142,Residential,4,On-Demand Support,2022-02-24,Active,23447.98
143,Titan Industrial NorthWest 0143,Industrial,1,On-Demand Support,2020-12-22,Lost,469193.78
144,Summit Commercial Central 0144,Commercial,3,Managed Services,2022-06-08,Suspended,103298.41
145,Summit Commercial NorthWest 0145,Commercial,1,Managed Services,2021-08-30,Active,139619.68
146,Prime Commercial NorthEast 0146,Commercial,2,Performance Contract,2019-11-01,Active,147091.67
147,Green Residential Islands 0147,Residential,5,On-Demand Support,2024-10-20,Active,25066.44
148,Orion Commercial NorthWest 0148,Commercial,1,Preventive Care,2025-06-12,Active,177794.73
149,Family Residential NorthWest 0149,Residential,1,Preventive Care,2022-11-14,Active,33176.64
150,Urban Commercial NorthWest 0150,Commercial,1,Managed Services,2025-12-15,Active,125100.23
151,Urban Commercial Islands 0151,Commercial,5,Preventive Care,2023-08-11,Active,138889.88
152,Urban Commercial Islands 0152,Commercial,5,Managed Services,2023-03-14,Lost,111550.36
153,Casa Residential Islands 0153,Residential,5,On-Demand Support,2020-03-16,Active,26232.84
154,Community Public NorthEast 0154,Public Sector,2,Performance Contract,2021-02-12,Active,227970.48
155,Vista Commercial Islands 0155,Commercial,5,Preventive Care,2022-04-02,Active,128547.67
156,Metro Public NorthWest 0156,Public Sector,1,Performance Contract,2022-01-30,Active,254543.91
157,Metro Public NorthWest 0157,Public Sector,1,Preventive Care,2020-03-16,Active,203556.42
